4527	920	2480	1107	624.8414	35.3299	226.2739	27.2440	281.7320	189.7188	0.0002	0.0000	-0.4971	0.0044	0.0002	0.0001	4273.9469	72.4671	2635.8894	178.9593	0.0000	0.1369
4597	952	2593	1141	660.1639	36.7884	236.5469	28.7338	0.0000	351.6654	0.0001	0.0000	-0.5003	0.0042	0.0003	0.0001	4314.2040	73.3472	3086.9518	76.4903	0.1110	0.0310
4611	926	2507	1073	538.2003	34.4818	180.0034	26.5759	0.0001	365.3175	0.0000	0.0000	-0.4968	0.0044	0.0002	0.0001	4302.8526	72.8528	3066.0302	75.9513	0.0946	0.0308
4589	929	2603	1054	566.5628	33.5250	196.0176	26.3075	661.9080	176.0263	0.0001	0.0000	-0.4932	0.0043	0.0002	0.0001	4264.4843	71.0521	2485.4449	171.0349	0.0000	0.0141
4649	961	2622	1097	633.4402	35.7954	225.7069	27.8155	529.9132	190.7951	0.0002	0.0000	-0.4985	0.0043	0.0001	0.0001	4294.7842	73.2968	2613.5016	176.8263	0.0000	0.0665
4588	977	2475	1026	580.0578	34.8463	148.8731	25.8652	0.0000	217.6433	0.0001	0.0000	-0.4986	0.0043	0.0002	0.0001	4358.1516	73.1421	2987.8573	71.7224	0.0666	0.0312
4621	953	2505	1108	608.9231	35.2084	227.7297	27.8844	0.0000	258.1806	0.0001	0.0000	-0.4940	0.0045	0.0001	0.0001	4350.8519	72.9784	3001.3644	72.6033	0.0701	0.0311
4592	944	2520	1034	540.4854	34.9792	147.0492	27.0101	611.8946	211.2990	0.0001	0.0000	-0.4976	0.0045	0.0003	0.0001	4325.9011	74.0846	2481.4962	186.3749	0.0000	0.0026
4567	984	2541	1127	635.0313	35.9100	237.5659	27.8702	313.6790	308.3194	0.0001	0.0000	-0.4939	0.0046	0.0001	0.0001	4340.0715	73.1804	2714.9469	307.0608	0.0000	0.0367
4617	971	2546	1068	620.5151	35.5150	182.8676	26.9482	520.6168	192.6264	0.0000	0.0000	-0.4907	0.0047	0.0003	0.0001	4353.3520	73.2531	2518.7752	179.1028	0.0000	0.0945
4613	1005	2516	1101	659.1916	36.3732	206.8088	27.1349	231.2926	961.3790	0.0002	0.0000	-0.4909	0.0048	0.0000	0.0001	4284.2434	73.3062	2846.6959	942.0119	0.0587	0.1462
4592	951	2511	1079	572.1877	34.7718	220.8459	28.1000	408.8397	327.1546	0.0002	0.0000	-0.4828	0.0051	0.0001	0.0001	4324.3513	73.0910	2629.7900	325.9557	0.0000	0.0497
4641	998	2473	1054	609.4069	35.6642	186.7801	26.9595	240.8498	792.1057	0.0002	0.0000	-0.5005	0.0042	0.0001	0.0001	4381.4571	73.5256	2763.4855	793.6414	0.0466	0.1310
4630	963	2584	1051	563.4420	34.6690	206.7776	27.5089	626.4518	182.7861	0.0001	0.0000	-0.4928	0.0046	0.0002	0.0001	4373.1598	73.4851	2493.2957	169.3030	0.0000	0.0572
4631	1005	2450	1115	588.5321	33.8105	221.2090	27.3698	405.5210	185.2404	0.0002	0.0000	-0.5000	0.0040	0.0002	0.0001	4389.6052	72.9245	2589.7607	172.0687	0.0000	0.0105
4631	937	2566	1051	560.6250	34.9806	234.3435	28.4469	154.3294	1419.4893	0.0001	0.0000	-0.4963	0.0044	0.0001	0.0001	4383.3495	73.7693	2880.3319	938.0462	0.0661	0.1435
4626	989	2543	1078	562.1221	34.6882	202.8638	27.1875	0.0004	888.0716	0.0002	0.0000	-0.4912	0.0047	0.0001	0.0001	4308.4726	73.1378	3195.9234	91.5878	0.1475	0.0303
4586	944	2559	1118	580.9476	35.0750	220.3968	28.3067	731.2043	187.3754	0.0002	0.0000	-0.4962	0.0044	0.0001	0.0001	4376.5770	73.5469	2301.6678	172.4095	0.0000	0.0797
4607	984	2678	1109	610.9910	34.5098	189.4777	27.6415	543.2835	190.5524	0.0001	0.0000	-0.4945	0.0040	0.0001	0.0001	4303.2759	70.4656	2722.2727	180.0740	0.0000	0.0094
4645	927	2565	1039	554.5968	33.3893	170.8632	24.9815	618.1140	186.5221	0.0001	0.0000	-0.4992	0.0040	0.0003	0.0001	4358.6591	71.0372	2515.1040	175.7839	0.0000	0.0152
4614	948	2465	1051	575.3103	33.3699	199.0248	26.4300	546.2181	182.1687	0.0002	0.0000	-0.5006	0.0040	0.0001	0.0001	4414.9206	71.8440	2401.4772	169.4305	0.0000	0.0253
